"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"4","10","6","72 %","25","40","0","0","10","2.5","0","0","0","0","0","0","Dong Geon Lee","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gaurav Kumar","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Navneet","umumba"
"12","40","9","80.18 %","111","32.43","2","0","36","3","1","0","4","0.25","8","50 %","Rohit Baliyan","umumba"
"1","0","0","50 %","4","0","0","0","0","0","0","0","0","0","1","0","Vinoth Kumar","umumba"
"4","2","2","100 %","2","0","0","0","0","0","0","0","2","0.5","5","40 %","Rajaguru Subramanian","umumba"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Harsh Vardhan","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Anil","umumba"
"13","13","5","0","0","0","0","0","0","0","1","1","13","0.92","40","32.5 %","Harendra Kumar","umumba"
"8","6","4","0","0","0","0","0","0","0","2","0","6","0.5","12","50 %","Young Chang Ko","umumba"
"15","36","9","60 %","5","80","1","0","4","0.26","1","1","32","2.06","81","39.5 %","Surinder Singh","umumba"
"2","1","1","60 %","5","20","0","0","1","0.5","0","0","0","0","1","0","Ajinkya Rohidas Kapre","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohit Balyan","umumba"
"15","50","6","80.85 %","47","25.53","0","0","12","0.8","5","1","38","2.2","57","66.66 %","Sandeep Narwal","umumba"
"14","40","7","0","2","50","0","0","1","0.07","5","2","39","2.42","64","60.93 %","Nitesh Kumar","upyoddha"
"2","6","4","80 %","5","100","0","0","5","2.5","0","0","1","0.5","1","100 %","Ankush","upyoddha"
"3","5","3","69.56 %","23","21.73","0","0","5","1.66","0","0","0","0","1","0","Azad Singh","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gulveer Singh","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Md. Masud Karim","upyoddha"
"9","46","10","73.63 %","110","39.09","0","1","43","4.77","1","0","3","0.22","10","30 %","Monu Goyat","upyoddha"
"10","25","6","82.5 %","80","30","1","0","24","2.4","0","0","1","0.1","7","14.28 %","Rishank Devadiga","upyoddha"
"14","81","15","76.24 %","181","43.09","0","2","78","5.57","0","0","3","0.21","7","42.85 %","Shrikant Jadhav","upyoddha"
"11","37","8","74.28 %","105","29.52","0","0","31","2.81","1","0","6","0.45","7","85.71 %","Surender Gill","upyoddha"
"4","11","5","52.17 %","23","43.47","0","0","10","2.5","0","0","1","0.25","4","25 %","Surender Singh","upyoddha"
"14","24","4","0","0","0","0","0","0","0","0","0","24","1.71","58","41.37 %","Ashu Singh","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Aashish Nagar","upyoddha"
"14","20","4","100 %","14","14.28","0","0","2","0.14","2","0","18","1.14","47","38.29 %","Amit","upyoddha"
"14","50","6","83.33 %","6","33.33","0","0","2","0.14","0","4","48","3.42","90","53.33 %","Sumit","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Arkam Shaikh","upyoddha"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Gurdeep","upyoddha"
"10","7","2","56.52 %","23","17.39","0","0","4","0.4","1","0","3","0.2","8","37.5 %","Mohsen Maghsoudloujafari","upyoddha"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","Narender","upyoddha"
"11","2","1","92.85 %","14","0","0","0","0","0","0","0","2","0.18","10","20 %","Sachin Kumar","upyoddha"
