"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"9","11","4","82.75 %","29","34.48","1","0","10","1.11","0","0","1","0.11","5","20 %","Sachin Narwal","jppinkpather"
"28","36","3","100 %","1","0","0","0","0","0","2","0","36","1.21","93","38.7 %","Santhapanaselvam","jppinkpather"
"20","45","7","78.57 %","14","21.42","0","0","3","0.15","8","1","42","1.7","91","46.15 %","Vishal","jppinkpather"
"100","1037","34","77.19 %","1758","58.58","46","53","1030","10.3","1","0","7","0.06","34","20.58 %","Pardeep Narwal","patpirates"
"7","5","2","50 %","16","31.25","0","0","5","0.71","0","0","0","0","2","0","Ashish","patpirates"
"99","459","15","77.77 %","981","44.44","14","9","436","4.4","3","0","23","0.2","94","24.46 %","Jang Kun Lee","patpirates"
"15","35","9","76.69 %","103","27.18","0","0","28","1.86","2","0","7","0.33","18","38.88 %","Mohammad Esmaeil Maghsoudlou Mahalli","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohit","patpirates"
"48","138","7","74.41 %","258","28.29","2","0","73","1.52","10","1","65","1.14","109","59.63 %","Monu","patpirates"
"1","0","0","33.33 %","3","0","0","0","0","0","0","0","0","0","0","0","Naveen","patpirates"
"5","4","1","75 %","12","33.33","0","0","4","0.8","0","0","0","0","2","0","Purna Singh","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rajveersinh Pratap Rao Chavan","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mahendra Choudhary","patpirates"
"32","48","8","60 %","5","0","0","0","0","0","3","2","48","1.4","124","38.7 %","Neeraj Kumar","patpirates"
"63","170","7","92.3 %","13","0","0","0","0","0","10","12","170","2.53","369","46.07 %","Jaideep","patpirates"
"44","64","5","70.96 %","31","29.03","0","0","9","0.2","6","2","55","1.11","155","35.48 %","Jawahar Dagar","patpirates"
"3","5","4","75 %","8","62.5","1","0","5","1.66","0","0","0","0","1","0","Amit Kumar","patpirates"
"65","107","5","82.5 %","40","25","0","0","10","0.15","14","3","97","1.27","213","45.53 %","Hadi Oshtorak","patpirates"
"3","3","3","0","0","0","0","0","0","0","1","0","3","0.66","7","42.85 %","Ravinder","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sahil Mann","patpirates"
"42","70","9","78.5 %","107","36.44","2","0","39","0.92","0","0","31","0.73","88","35.22 %","Vikas Jaglan","patpirates"
"88","263","9","96.99 %","133","6.76","0","0","9","0.1","16","24","254","2.7","498","51 %","PO Surjeet Singh","punpaltan"
"16","39","9","69.41 %","85","28.23","1","0","24","1.5","1","0","15","0.87","34","44.11 %","Amit Kumar","punpaltan"
